"Sample","cell_type","cell_class","cell_region","cell_class_region","Sample_rename","Sample_reorder","cell_type_rename","sub_cell_class","SampleID"
"AT1_1","AT1","Epithelial_cell","Alveolar","Epithelial_Alveolar","AT1_1","AT1_1","AT1","Epithelial__alveolar","AT1_1"
"AT1_2","AT1","Epithelial_cell","Alveolar","Epithelial_Alveolar","AT1_2","AT1_2","AT1","Epithelial__alveolar","AT1_2"
"AT1_3","AT1","Epithelial_cell","Alveolar","Epithelial_Alveolar","AT1_3","AT1_3","AT1","Epithelial__alveolar","AT1_3"
"AT2_4","AT2","Epithelial_cell","Alveolar","Epithelial_Alveolar","AT2_4","AT2_1","AT2","Epithelial__alveolar","AT2_1"
"AT2_5","AT2","Epithelial_cell","Alveolar","Epithelial_Alveolar","AT2_5","AT2_2","AT2","Epithelial__alveolar","AT2_2"
"AT2_6","AT2","Epithelial_cell","Alveolar","Epithelial_Alveolar","AT2_6","AT2_3","AT2","Epithelial__alveolar","AT2_3"
"Ciliated_1","Ciliated","Epithelial_cell","Airway","Epithelial_Airway","Ciliated_1","Ciliated_1","Ciliated","Epithelial_airway","Ciliated_1"
"Ciliated_2","Ciliated","Epithelial_cell","Airway","Epithelial_Airway","Ciliated_2","Ciliated_2","Ciliated","Epithelial_airway","Ciliated_2"
"Ciliated_3","Ciliated","Epithelial_cell","Airway","Epithelial_Airway","Ciliated_3","Ciliated_3","Ciliated","Epithelial_airway","Ciliated_3"
"Club_1","Club","Epithelial_cell","Airway","Epithelial_Airway","Club_1","Club_1","Club","Epithelial_airway","Club_1"
"Club_2","Club","Epithelial_cell","Airway","Epithelial_Airway","Club_2","Club_2","Club","Epithelial_airway","Club_2"
"Club_3","Club","Epithelial_cell","Airway","Epithelial_Airway","Club_3","Club_3","Club","Epithelial_airway","Club_3"
"aCap_2","aCap","Endothelial_cell","Capillary","Endothelial_Capillary","EC_aerocyte_2","EC_aerocyte_1","EC_aerocyte","Endothelial_capillary","EC.aerocyte_1"
"aCap_4","aCap","Endothelial_cell","Capillary","Endothelial_Capillary","EC_aerocyte_4","EC_aerocyte_2","EC_aerocyte","Endothelial_capillary","EC.aerocyte_2"
"aCap_5","aCap","Endothelial_cell","Capillary","Endothelial_Capillary","EC_aerocyte_5","EC_aerocyte_3","EC_aerocyte","Endothelial_capillary","EC.aerocyte_3"
"gCap_7","gCap","Endothelial_cell","Capillary","Endothelial_Capillary","gCap_7","EC_gCap_1","EC_gCap","Endothelial_capillary","EC.gCap_1"
"gCap_8","gCap","Endothelial_cell","Capillary","Endothelial_Capillary","gCap_8","EC_gCap_2","EC_gCap","Endothelial_capillary","EC.gCap_2"
"gCap_9","gCap","Endothelial_cell","Capillary","Endothelial_Capillary","gCap_9","EC_gCap_3","EC_gCap","Endothelial_capillary","EC.gCap_3"
"Vascular_4","Vascular","Endothelial_cell","Main","Endothelial_Main","EC_vascular_4","EC_vascular_1","EC_vascular","Endothelial_main","EC.vascular_1"
"Vascular_5","Vascular","Endothelial_cell","Main","Endothelial_Main","EC_vascular_5","EC_vascular_2","EC_vascular","Endothelial_main","EC.vascular_2"
"Vascular_7","Vascular","Endothelial_cell","Main","Endothelial_Main","EC_vascular_7","EC_vascular_3","EC_vascular","Endothelial_main","EC.vascular_3"
"Lym_3","Lymph","Endothelial_cell","Main","Endothelial_Main","EC_lymphatic_3","EC_lymphatic_1","EC_lymphatic","Endothelial_main","EC.lymphatic_1"
"Lym_5","Lymph","Endothelial_cell","Main","Endothelial_Main","EC_lymphatic_5","EC_lymphatic_2","EC_lymphatic","Endothelial_main","EC.lymphatic_2"
"Lym_6","Lymph","Endothelial_cell","Main","Endothelial_Main","EC_lymphatic_6","EC_lymphatic_3","EC_lymphatic","Endothelial_main","EC.lymphatic_3"
"Per_2","Pericyte","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","Pericyte_2","Pericyte_1","Pericyte","Mesenchymal_alveolar","Pericyte_1"
"Per_3","Pericyte","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","Pericyte_3","Pericyte_2","Pericyte","Mesenchymal_alveolar","Pericyte_2"
"Per_4","Pericyte","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","Pericyte_4","Pericyte_3","Pericyte","Mesenchymal_alveolar","Pericyte_3"
"Col13a1_5","Col13a1","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","Fib_WNT2_Pα_5","Fib_WNT2_Pα_1","Fib_WNT2_Pα","Mesenchymal_alveolar","Fib.WNT2.Palpha_1"
"Col13a1_6","Col13a1","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","Fib_WNT2_Pα_6","Fib_WNT2_Pα_2","Fib_WNT2_Pα","Mesenchymal_alveolar","Fib.WNT2.Palpha_2"
"Col13a1_7","Col13a1","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","Fib_WNT2_Pα_7","Fib_WNT2_Pα_3","Fib_WNT2_Pα","Mesenchymal_alveolar","Fib.WNT2.Palpha_3"
"Col14a1_1","Col14a1","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","MANC_1","MANC_1","MANC","Mesenchymal_alveolar","MANC_1"
"Col14a1_3","Col14a1","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","MANC_3","MANC_2","MANC","Mesenchymal_alveolar","MANC_2"
"Col14a1_4","Col14a1","Mesenchymal_cell","Alveolar","Mesenchymal_Alveolar","MANC_4","MANC_3","MANC","Mesenchymal_alveolar","MANC_3"
"SMC_2","SMC","Mesenchymal_cell","Airway_Vascular","Mesenchymal_Airway_Vascular","SMC_2","SMC_1","SMC","Mesenchymal_airway/vascular","SMC_1"
