,AT1_1,AT1_2,AT1_3,AT2_1,AT2_2,AT2_3,Ciliated_1,Ciliated_2,Ciliated_3,Club_1,Club_2,Club_3,EC.aerocyte_1,EC.aerocyte_2,EC.aerocyte_3,EC.gCap_1,EC.gCap_2,EC.gCap_3,EC.vascular_1,EC.vascular_2,EC.vascular_3,EC.lymphatic_1,EC.lymphatic_2,EC.lymphatic_3,Pericyte_1,Pericyte_2,Pericyte_3,Fib.WNT2.Palpha_1,Fib.WNT2.Palpha_2,Fib.WNT2.Palpha_3,MANC_1,MANC_2,MANC_3,SMC_1,SMC_2,SMC_3,Mesothelial_1,Mesothelial_2,Mesothelial_3,T_1,T_2,T_3,B_1,B_2,B_3,NK_1,NK_2,NK_3,CD103..cDC1_1,CD103..cDC1_2,CD103..cDC1_3,CD11b..cDC2_1,CD11b..cDC2_2,CD11b..cDC2_3,Neutrophil_1,Neutrophil_2,Neutrophil_3,Monocyte_1,Monocyte_2,Monocyte_3,aM_1,aM_2,aM_3,iM_1,iM_2,iM_3
Adnp,237.9280718,297.0527712,416.467731,318.5055093,312.8727042,354.7903273,766.3070113,656.1855039,626.4186175,664.1072197,719.4307779,664.9436092,368.2246934,339.052842,403.2800618,303.5649235,244.1535764,295.3432683,334.9876867,294.2659131,285.4536487,197.2599764,175.2142334,156.6846296,337.9939305,221.228993,286.0748926,505.1670761,468.180955,468.3605783,346.2986205,314.843596,401.2354377,317.5133471,307.9281291,215.8178215,400.8651141,327.3424692,314.740817,257.7386099,253.7311198,232.1906207,259.5303869,179.3829976,135.9631393,219.556447,213.3895331,212.3892361,572.785789,429.0489743,492.1924084,363.3559893,376.6510349,331.2366391,127.6295686,144.6782571,127.171771,348.550077,422.7345928,422.6957299,365.995271,577.9164885,463.1084548,257.4438859,342.8038465,324.3267118
Adnp2,38.88251068,20.62268306,39.77279634,0,0,34.2622993,59.38399215,47.06098908,41.59242186,0,0,0,36.88291145,94.2330114,0,24.99387931,11.84957886,39.71907005,22.13989041,23.75633869,22.95603118,28.34350306,19.12437799,23.00000375,26.00335027,0,30.79197073,64.13116294,56.68150872,58.63282737,47.36412012,60.63816225,60.22395616,0,0,27.98465955,104.6311911,43.85794397,49.00031674,54.12796846,25.76232617,59.61931453,37.52645931,30.5028851,18.17285448,32.18159529,41.90680517,28.87746932,63.00797001,50.87829137,38.25626371,27.9357363,49.1328043,28.37428983,33.29390048,26.54887824,23.44665673,38.54487107,45.6710196,42.47125844,35.80708244,93.00465658,94.66517312,31.3054884,51.07642419,25.22329553
Aebp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.99611659,77.60791275,0,32.21899104,0,0,0,0,0,167.2033034,166.8786713,96.86944804,104.2135255,117.1248798,147.2915736,0,0,0,100.7753157,108.6747525,131.0325453,119.2209054,94.08812656,149.5819338,67.31896364,95.41930089,64.44268455
Aff1,0,49.19534533,205.0413503,30.62264787,0,0,56.27571402,82.55173581,82.48208238,0,262.2130776,0,95.70872401,134.2766232,0,0,48.73389872,0,123.395763,25.13454962,7.883383321,23.69139102,15.39268694,0,0,0,0,22.46608516,0,55.13100292,0,24.29666178,58.60421025,33.80438937,0,0,27.45417429,30.11000009,0,47.4994301,37.54563639,19.18962997,35.43536957,71.3040276,0,89.11453369,40.20259571,53.85229029,176.3198105,116.1854264,111.9588459,56.4083856,39.52900943,55.19009918,33.18303877,5.69348789,19.21717419,35.81952326,84.96189533,63.92182144,90.93517818,201.5583479,154.8401568,46.1444378,53.91739464,49.01449757
Aff3,0,0,0,0,0,0,0,0,0,0,0,0,24.47573437,0,97.38017554,95.31032865,45.02928989,69.40046248,0,0,0,0,0,0,84.59022157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93293843,32.56991118,16.15413154,83.35953037,55.99590465,26.22415337,30.65688259,26.02966629,0,32.21017726,0,67.15959806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aff4,65.83612295,66.02463233,160.9478574,59.21410801,60.25009176,568.0022336,262.4621285,205.1627722,203.510061,146.9065152,167.507072,203.4275662,83.82258439,87.0831428,74.37543061,69.50266455,85.35102743,67.17338417,23.92249697,21.02121848,33.61470181,58.06520892,51.755548,18.23349648,82.09726025,0,173.311241,107.2104729,76.26187462,94.34123884,90.13743997,55.78342609,80.94563789,0,70.46038428,29.30610692,77.86563551,77.57207242,62.36604939,36.12915125,19.8721213,25.48664143,48.142362,24.67651145,22.64247498,23.65512557,0,13.21048813,77.4632958,46.57301903,52.9486977,68.54595345,32.0095296,63.52591147,50.26801042,67.83950421,36.63060658,54.77450512,74.59930943,108.6826148,73.40518773,191.9397065,149.1296249,44.38919123,63.40162747,63.78302051
Ahctf1,384.1743173,489.8051407,877.1975335,647.5422881,654.0127719,655.77253,1439.414676,1155.885801,1172.18144,1349.991987,1372.839424,1312.896868,497.3369833,491.0791009,502.950671,705.2233077,492.6097395,608.835826,490.6384469,424.283303,415.2584929,403.9262491,319.509218,326.7417785,667.0185065,498.5339609,600.829991,904.6474356,975.5915481,875.7146455,555.0595049,622.7904879,824.3038492,623.5479581,594.7449483,478.2582445,817.423784,607.0528095,538.5201138,589.5625405,642.50646,557.8500007,491.8542997,338.5300815,231.2272144,497.4315468,411.7852236,456.1441697,947.1509534,802.3636577,761.8851229,582.4257064,583.9274915,594.3468186,345.7217309,254.4122077,341.3303436,485.6836785,571.9862139,568.7994562,896.5213551,1462.189276,1255.789854,586.9699976,803.7050509,753.2539982
Ahr,117.8173122,159.6853674,106.5368046,0,0,0,401.10626,389.7988565,399.7469625,291.4138201,459.4629486,196.4530064,423.7635163,475.7181672,460.4011492,347.0759709,197.8354113,361.9920512,333.8347543,251.0986795,259.695923,215.9938037,205.2338978,179.5773107,45.33529326,217.4940796,252.7595664,162.3115486,201.5692678,161.4104711,89.47158628,216.7911118,231.5846185,0,0,0,75.98694286,141.8515589,94.38711022,47.31817702,25.77846271,27.33426485,0,10.31345643,32.56417075,0,0,0,811.6701786,505.8063614,472.5311438,255.1518575,239.5291185,183.3255394,0,0,0,327.400629,388.7966155,405.3599863,0,0,0,196.9182781,90.94635255,168.8318461
Akna,0,0,0,1434.99235,0,0,275.278261,328.806199,263.2111269,8.931720102,19.62180357,56.12260244,1606.171886,1635.921369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.616049,0,0,0,0,0,0,0,112.3316267,128.4518326,102.8381603,132.0417585,79.46223703,71.93641824,113.0031505,131.7645891,184.723249,261.3577294,218.4722448,246.022307,138.0878087,147.0287667,149.6022774,126.2810196,171.1158236,143.7481911,130.8543188,123.971866,97.90991778,64.65226012,110.0619381,81.62245266,61.05332379,72.15632074,64.45099466
Ar,62220.72218,0,8101.488666,19249.50039,36239.0473,0,34709.01766,0,11467.10797,646346.1964,25900.0268,52409.76412,1626988.772,905357.121,0,1204.926223,899.8974985,432.2633424,0,0,0,22970.06562,6753.110411,0,11338.64456,12048.63689,4045.116938,27133.25811,12942.26012,10528.93352,19661.9285,18698.00517,6654.807476,24839.85234,3793.9069,50807.84945,7250.678731,12988.08638,7829.670885,28224.17598,41606.64384,34505.25119,0,0,30392.59669,71557.12112,53802.8988,54160.12004,0,35283.90208,32320.82982,51643.43842,47900.08652,45333.34769,18006.64737,0,21351.98808,36433.13722,21178.51854,0,15646.22213,72985.16133,45830.70217,7642.369794,10604.50977,15757.65017
Arid1a,396.533461,453.0544986,688.0484262,442.1317558,409.8910025,462.8447994,1151.150737,987.1105378,965.4642188,983.083467,1085.663469,970.5858419,719.164406,660.6512975,635.5680417,707.6429766,510.2982471,632.9497929,544.5526182,434.8807611,445.3239328,289.6469683,276.8308088,265.1759036,454.0357332,303.2316622,362.5196292,599.7432378,614.3913653,578.8231886,398.9857466,506.4329163,578.853303,310.7772967,328.9405611,390.5544802,524.0586675,384.1656108,394.1767248,703.6103963,796.7954788,703.8599917,589.3007245,475.2201129,397.1829657,615.0841175,548.2524446,566.7483074,1375.386128,1167.667871,1136.786944,935.1693207,822.2878891,855.6758609,500.062839,518.883261,487.8532355,1091.019696,1278.145322,1413.927627,810.8789866,1257.961235,1025.672024,597.3012369,779.4017528,689.6720357
Arid1b,365.6136234,456.592228,708.018609,322.5909926,299.7993976,370.0355535,701.9784662,636.817258,592.3587227,663.9434831,735.1136537,600.5248575,294.7951915,256.8437302,297.4920139,311.0797305,241.7620087,264.7112365,307.5872937,266.9952964,280.5375367,222.0926401,199.8191123,188.5525838,445.9075365,322.5041855,372.0428203,1203.822622,1261.591604,1174.853684,553.9348143,583.1945767,737.8192733,501.6517225,444.6169802,411.496593,510.1628721,495.3145887,515.4967439,347.7621261,321.7775322,317.4906432,404.8839695,291.0976566,203.9618879,355.3360678,310.891794,314.8250611,713.1774153,591.7165477,570.1195819,428.9237607,422.0070146,409.8704397,248.3331916,351.4898437,298.8823253,327.2131989,441.5780415,346.2198405,614.5569146,883.0921326,705.4504872,358.5731983,434.5938634,449.5752965
